County,Per capita income,Median household income,Median family income,Population 2010,Population 2011,Humber of households,Crime Overall,Violent Crime,Property Crime,Remoteness
Tioga,0.074841969,0.297966267,0.308993856,0.018476802,0.018296166,0.019777081,0.061738558,0.023056169,0.070304423,0.067169336
Tompkins,0.087004722,0.242480918,0.486309943,0.038670677,0.038344808,0.040132562,5.03E-01,0.078979642,5.66E-01,0.066630268
Ulster,0.121297076,0.392929957,0.461591586,0.07095076,0.070279035,0.075210421,3.91E-01,0.21192053,3.94E-01,0.182391203
Warren,0.108398802,0.292422787,0.370689035,0.024319402,0.024146192,0.028130515,3.34E-01,0.113195977,3.59E-01,0.053797926
Washington,0.050868235,0.236954287,0.272347956,0.023360413,0.023091542,0.023923183,1.53E-01,0.116875153,1.47E-01,0.058901268
Wayne,0.069469465,0.30831185,0.314993597,0.035526904,0.035066531,0.037528127,4.03E-01,0.162374295,0.423741145,0.051837402
Westchester,0.592510473,0.764208327,0.898263384,0.377623338,0.376250667,0.377183756,2.20E-01,0.250919794,1.83E-01,0.454977393
Wyoming,0.032298984,0.266407185,0.281685683,0.014899268,0.014696667,0.014475275,7.27E-02,0.032867304,8.00E-02,0.047197974
Yates,0.060547271,0.211595815,0.260521129,0.008200729,0.008173342,0.007932482,3.33E-01,0.024773117,3.86E-01,0.059338292
,,,,,,,,,,
County,Population change rate,,,,,,,,,
Albany,0.396315649,,,,,,,,,
Allegany,0.267964933,,,,,,,,,
Bronx,0.63333527,,,,,,,,,
Broome,0.104738136,,,,,,,,,
Cattaraugus,0.180875836,,,,,,,,,
Cayuga,0.283386202,,,,,,,,,
Chautauqua,0.280096928,,,,,,,,,
Chemung,0.457618655,,,,,,,,,
Chenango,0.164879212,,,,,,,,,
Clinton,0.326405622,,,,,,,,,
Columbia,0.06390108,,,,,,,,,
Cortland,0.49288517,,,,,,,,,
Delaware,0.14304829,,,,,,,,,
Dutchess,0.49717873,,,,,,,,,
Erie,0.410838028,,,,,,,,,
Essex,0.273187952,,,,,,,,,
Franklin,0.393317142,,,,,,,,,
Fulton,0.178937983,,,,,,,,,
Genesee,0.376454806,,,,,,,,,
Greene,0.233835453,,,,,,,,,
Hamilton,0,,,,,,,,,
Herkimer,0.192863997,,,,,,,,,
Jefferson,1,,,,,,,,,
Kings,0.952028265,,,,,,,,,
Lewis,0.396113216,,,,,,,,,
Livingston,0.229727672,,,,,,,,,
Madison,0.381679936,,,,,,,,,
Monroe,0.520907406,,,,,,,,,
Montgomery,0.095809278,,,,,,,,,
Nassau,0.583735884,,,,,,,,,
New York County,0.925709941,,,,,,,,,
Niagara,0.324234366,,,,,,,,,
Oneida,0.322671876,,,,,,,,,
Onondaga,0.41915226,,,,,,,,,
Ontario,0.658645543,,,,,,,,,
Orange,0.635676742,,,,,,,,,
Orleans,0.161766407,,,,,,,,,
Oswego,0.478157723,,,,,,,,,
Otsego,0.192679389,,,,,,,,,
Putnam,0.563894523,,,,,,,,,
Queens,0.77659967,,,,,,,,,
Rensselaer,0.428934787,,,,,,,,,
Richmond,0.570758425,,,,,,,,,
Rockland,0.890755226,,,,,,,,,
Saratoga,0.346279533,,,,,,,,,
Schenectady,0.66311165,,,,,,,,,
Schoharie,0.494058954,,,,,,,,,
Schuyler,0.270412093,,,,,,,,,
Seneca,0.516992125,,,,,,,,,
St. Lawrence,0.439946352,,,,,,,,,
Steuben,0.501700669,,,,,,,,,
Suffolk,0.605864185,,,,,,,,,
Sullivan,0.069115423,,,,,,,,,
Tioga,0.398836237,,,,,,,,,
Tompkins,0.48706474,,,,,,,,,
Ulster,0.444638777,,,,,,,,,
Warren,0.537224486,,,,,,,,,
Washington,0.32281922,,,,,,,,,
Wayne,0.259337835,,,,,,,,,
Westchester,0.759113858,,,,,,,,,
Wyoming,0.212329574,,,,,,,,,
Yates,0.630128759,,,,,,,,,
